statistic_yyy,site_id,people_total,area,population_density
統計年,區域別,年底人口數,土地面積,人口密度
112,新北市板橋區,554247,23.1373,23955
112,新北市三重區,383108,16.3170,23479
112,新北市中和區,407273,20.1440,20218
112,新北市永和區,214771,5.7138,37588
112,新北市新莊區,423607,19.7383,21461
112,新北市新店區,304868,120.2255,2536
112,新北市樹林區,180658,33.1288,5453
112,新北市鶯歌區,89080,21.1248,4217
112,新北市三峽區,115608,191.4508,604
112,新北市淡水區,194399,70.6565,2751
112,新北市汐止區,209481,71.2354,2941
112,新北市瑞芳區,37197,70.7336,526
112,新北市土城區,240828,29.5578,8148
112,新北市蘆洲區,200022,7.4351,26902
112,新北市五股區,92754,34.8632,2661
112,新北市泰山區,77491,19.1603,4044
112,新北市林口區,132947,54.1519,2455
112,新北市深坑區,23689,20.5787,1151
112,新北市石碇區,7166,144.3498,50
112,新北市坪林區,6446,170.8350,38
112,新北市三芝區,22137,65.9909,335
112,新北市石門區,10752,51.2645,210
112,新北市八里區,41966,39.4933,1063
112,新北市平溪區,4134,71.3382,58
112,新北市雙溪區,7915,146.2484,54
112,新北市貢寮區,10981,99.9734,110
112,新北市金山區,20366,49.2132,414
112,新北市萬里區,20869,63.3766,329
112,新北市烏來區,6360,321.1306,20
112,臺北市松山區,193399,9.2878,20823
112,臺北市信義區,206759,11.2077,18448
112,臺北市大安區,291732,11.3614,25677
112,臺北市中山區,216346,13.6821,15812
112,臺北市中正區,150155,7.6071,19739
112,臺北市大同區,119930,5.6815,21109
112,臺北市萬華區,173652,8.8522,19617
112,臺北市文山區,260313,31.5090,8262
112,臺北市南港區,113959,21.8424,5217
112,臺北市內湖區,276180,31.5787,8746
112,臺北市士林區,266951,62.3682,4280
112,臺北市北投區,242510,56.8216,4268
112,桃園市桃園區,470683,34.8046,13524
112,桃園市中壢區,431255,76.5200,5636
112,桃園市大溪區,94607,105.1206,900
112,桃園市楊梅區,180032,89.1229,2020
112,桃園市蘆竹區,169237,75.5025,2241
112,桃園市大園區,86634,87.3925,991
112,桃園市龜山區,178297,72.0177,2476
112,桃園市八德區,213403,33.7111,6330
112,桃園市龍潭區,126603,75.2341,1683
112,桃園市平鎮區,229686,47.7532,4810
112,桃園市新屋區,49277,85.0166,580
112,桃園市觀音區,74521,87.9807,847
112,桃園市復興區,13210,350.7775,38
112,臺中市中區,17784,0.8803,20202
112,臺中市東區,76852,9.2855,8277
112,臺中市南區,126907,6.8101,18635
112,臺中市西區,113548,5.7042,19906
112,臺中市北區,144097,6.9376,20770
112,臺中市西屯區,235441,39.8467,5909
112,臺中市南屯區,182232,31.2578,5830
112,臺中市北屯區,304179,62.7034,4851
112,臺中市豐原區,163948,41.1845,3981
112,臺中市東勢區,47468,117.4065,404
112,臺中市大甲區,74684,58.5192,1276
112,臺中市清水區,89924,64.1709,1401
112,臺中市沙鹿區,98805,40.4604,2442
112,臺中市梧棲區,61019,16.6049,3675
